epoch,slice,prb_budget,weight,report,cqi,throughput_mbps,mean_delay_ms,sla_violation,prb_used,reward
0,URLLC,22,7.741398895329258,3.437622465300327,12.0,6.85824,5.11771,1.0,0.0,-20.073854924298896
0,eMBB,22,2.646432524187702,24.675170750142325,13.0,4.71552,5.86619,0.0,0.0,-20.073854924298896
0,mMTC,6,0.32715467548097166,2.691836809106435,11.0,0.0,0.0,0.0,0.0,-20.073854924298896
1,URLLC,20,3.6065153901931986,3.9810453568164688,11.0,13.4246,3.52056,0.760281,0.0,-10.335957005617718
1,eMBB,23,2.0536649587992932,20.02093581315908,14.0,14.9325,3.61232,0.0,0.0,-10.335957005617718
1,mMTC,7,0.4892682521733328,3.8682436836538163,8.0,4.71552,4.52097,0.0,0.0,-10.335957005617718
2,URLLC,22,6.812023309839109,2.7023426103001675,12.0,12.4032,3.51832,0.759159,0.0,-10.737748283475923
2,eMBB,21,2.038737136313405,17.107946751566416,13.0,16.5043,3.52866,0.0,0.0,-10.737748283475923
2,mMTC,7,0.40022392431172593,3.5434446348707587,11.0,2.35776,3.76935,0.0,0.0,-10.737748283475923
3,URLLC,19,3.434768693743199,2.678012833149825,12.0,12.4032,3.5328,0.766398,0.0,-10.858015005975922
3,eMBB,24,2.1149804194677544,38.48103235586209,13.0,16.5043,3.48263,0.0,0.0,-10.858015005975922
3,mMTC,7,0.48029677239331525,2.74316755672852,11.0,2.35776,3.42558,0.0,0.0,-10.858015005975922
4,URLLC,21,6.516254872080267,3.425753068863645,12.0,13.5706,3.52474,0.762372,0.0,-10.501421138887823
4,eMBB,22,2.1169860939512435,28.036178248635235,13.0,14.1466,3.61195,0.0,0.0,-10.501421138887823
4,mMTC,7,0.3839514520894698,3.463964196369815,9.0,3.9296,3.5852,0.0,0.0,-10.501421138887823
5,URLLC,17,3.4301490518679745,2.6842235677239294,12.0,11.6736,3.52208,0.76104,0.0,-10.608857606606847
5,eMBB,26,3.6898567728409195,20.34502606957562,13.0,18.0762,3.57377,0.0,0.0,-10.608857606606847
5,mMTC,7,0.41177279916162435,3.4924969431262456,9.0,3.14368,3.61785,0.0,0.0,-10.608857606606847
