scheduler,load,seed,gain_pct,best_mult
RoundRobin+Floors,0.7,0,0.0,1.0
MaxCQI+Floors,0.7,0,0.0,1.0
ProportionalFair+Floors,0.7,0,0.0,1.0
GTMD-noPay,0.7,0,5.025610842714376,1.25
GTMD-RL,0.7,0,0.0,1.0
RoundRobin+Floors,0.7,1,0.0,1.0
MaxCQI+Floors,0.7,1,0.0,1.0
ProportionalFair+Floors,0.7,1,0.0,1.0
GTMD-noPay,0.7,1,6.6737960671488885,1.5
GTMD-RL,0.7,1,0.0,1.0
RoundRobin+Floors,0.7,2,0.0,1.0
MaxCQI+Floors,0.7,2,0.0,1.0
ProportionalFair+Floors,0.7,2,0.0,1.0
GTMD-noPay,0.7,2,7.13675491502192,1.5
GTMD-RL,0.7,2,0.0,1.0
RoundRobin+Floors,0.85,0,0.0,1.0
MaxCQI+Floors,0.85,0,0.0,1.0
ProportionalFair+Floors,0.85,0,1.2043570148663887,0.85
GTMD-noPay,0.85,0,9.445563034115018,1.5
GTMD-RL,0.85,0,0.0,1.0
RoundRobin+Floors,0.85,1,0.0,1.0
MaxCQI+Floors,0.85,1,0.0,1.0
ProportionalFair+Floors,0.85,1,0.7605732454214759,0.85
GTMD-noPay,0.85,1,10.184038166888978,3.0
GTMD-RL,0.85,1,0.0,1.0
RoundRobin+Floors,0.85,2,0.0,1.0
MaxCQI+Floors,0.85,2,0.0,1.0
ProportionalFair+Floors,0.85,2,0.6815762438995729,0.85
GTMD-noPay,0.85,2,10.273298799237004,2.0
GTMD-RL,0.85,2,0.0,1.0
RoundRobin+Floors,1.0,0,0.0,1.0
MaxCQI+Floors,1.0,0,0.0,1.0
ProportionalFair+Floors,1.0,0,1.7720466107013784,0.85
GTMD-noPay,1.0,0,9.90663228837769,3.0
GTMD-RL,1.0,0,0.0,1.0
RoundRobin+Floors,1.0,1,0.0,1.0
MaxCQI+Floors,1.0,1,0.0,1.0
ProportionalFair+Floors,1.0,1,1.461193837132078,0.85
GTMD-noPay,1.0,1,8.64632354624373,2.0
GTMD-RL,1.0,1,0.0,1.0
RoundRobin+Floors,1.0,2,0.0,0.85
MaxCQI+Floors,1.0,2,0.0,1.0
ProportionalFair+Floors,1.0,2,2.0745312767167454,0.85
GTMD-noPay,1.0,2,10.861143457175762,3.0
GTMD-RL,1.0,2,0.0,1.0
RoundRobin+Floors,1.15,0,0.0,1.0
MaxCQI+Floors,1.15,0,0.0,1.0
ProportionalFair+Floors,1.15,0,1.8506347493201762,0.85
GTMD-noPay,1.15,0,9.432923588242195,3.0
GTMD-RL,1.15,0,0.0,1.0
RoundRobin+Floors,1.15,1,0.0,0.85
MaxCQI+Floors,1.15,1,0.0,0.85
ProportionalFair+Floors,1.15,1,2.145548960845274,0.85
GTMD-noPay,1.15,1,8.518461076148894,3.0
GTMD-RL,1.15,1,0.0,1.0
RoundRobin+Floors,1.15,2,0.0,0.85
MaxCQI+Floors,1.15,2,0.0,0.85
ProportionalFair+Floors,1.15,2,2.7812419764140714,0.85
GTMD-noPay,1.15,2,10.498290170953545,3.0
GTMD-RL,1.15,2,0.0,1.0
RoundRobin+Floors,1.3,0,0.0,0.85
MaxCQI+Floors,1.3,0,0.0,0.85
ProportionalFair+Floors,1.3,0,3.0191029869382078,0.85
GTMD-noPay,1.3,0,6.989668980949757,3.0
GTMD-RL,1.3,0,0.0,1.0
RoundRobin+Floors,1.3,1,0.0,0.85
MaxCQI+Floors,1.3,1,0.0,0.85
ProportionalFair+Floors,1.3,1,2.9278494302924742,0.85
GTMD-noPay,1.3,1,9.117954021527455,3.0
GTMD-RL,1.3,1,0.0,1.0
RoundRobin+Floors,1.3,2,0.0,0.85
MaxCQI+Floors,1.3,2,0.0,0.85
ProportionalFair+Floors,1.3,2,2.0251259172394733,0.85
GTMD-noPay,1.3,2,11.794657866236802,3.0
GTMD-RL,1.3,2,0.0,1.0
